出典,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号,解説
統一基準ガイドライン 基本対策事項7.1.2(1)-2,アクセス制御の設定変更を実施する際、ミスを防止するためにガイドラインが求めている措置はどれだお？,作業効率を優先するため、ベンダに全権を委任し、自組織の職員は関与しないことだお。,変更作業を行う者が自ら「監督者」を兼任し、作業後の事後報告のみで完了させるお。,情報システムセキュリティ責任者が指名した監督者の監視の下で、設定変更等を実施するお。,設定変更の全工程をビデオ録画し、1年間の保管後にまとめて監査を受けることだお。,3,【結論】正解は3だお！「大事な設定」は、誰かが見守る中で間違いなくやるお！ 【根拠】※ https://www.nisc.go.jp/ アクセス制御の設定ミスは、情報のダダ漏れに繋がる大事故の元だお。だから、責任者が選んだ「監督者」がしっかり見守る中で作業するのがルールなんだお！ 【注意点・例外】機械的なチェック機能を設けて、ミスを防ぐことも重要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.3(1)(b),内部からの不正操作や誤操作を防止するため、特に強固な権限管理が必要なシステムに導入を検討すべき「デュアルロック機能」の説明として適切なものはどれだお？,一人の管理者が、指紋とパスワードの二種類を用いてログインを完遂する機能だお。,ある処理に対し、複数名による主体認証操作がなければ処理を完遂できない機能だお。,ログインのたびに、管理者の自宅へ確認の電話が自動的に発信される機能だお。,操作ログを二つの異なる物理媒体に同時に記録し、改ざんを防止する機能だお。,2,【結論】正解は2だお！「一人で勝手にできない」状態を作るのが最強の抑止だお！ 【根拠】※ https://www.nisc.go.jp/ 重要な処理を一人で完結させない「職務分掌」をシステム的に強制するのがデュアルロックやワークフローだお。これがあれば、魔が差した不正や、うっかりミスによる大事故を防げるんだお！ 【注意点・例外】それ以外のシステムでは、ログ取得や確認画面の表示で代用することも考えられるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.3(1)(c),保守やメンテナンスのために特定の主体に対して「一時的に付与した権限」の取り扱いとして、正しいものはどれだお？,将来のメンテナンス時に迅速に対応できるよう、権限を付与したまま有効に保つ。,権限の名称を「メンテナンス用」に変更し、パスワードを定期的に変更して維持する。,必要な作業等が終了した時点で、確実に当該権限の付与を削除（無効化）する。,作業履歴がログに残っていれば、付与した権限をそのまま放置しても問題はないお。,3,【結論】正解は3だお！「使い終わった鍵」は、その場ですぐに回収するお！ 【根拠】※ https://www.nisc.go.jp/ 一時的な権限が残っていると、そこが攻撃者の「裏口」になるリスクがあるお。作業が終わったら即座に消す、これが特権ID管理の鉄則だお！定期的な確認も忘れちゃダメだお。 【注意点・例外】人事異動等で権限が不要になった際も、同様に速やかな変更が必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.3(1)-1,Administratorやroot等の「初期値の管理者識別コード」について、ガイドラインが求めている原則的な対応はどれだお？,組織内ですべての初期パスワードを統一し、管理の効率化を図ることが望ましい。,当該識別コードを無効化し、新たに別の（推測困難な）識別コードを用意する。,管理者権限を付与したまま、インターネットから直接リモートアクセスできるようにする。,初期識別コードをそのまま利用し、パスワードのみを「123456」等の簡単なものに固定する。,2,【結論】正解は2だお！「名前が割れている管理者」をそのままにするのは自殺行為だお！ 【根拠】※ https://www.nisc.go.jp/ 初期IDはハッカーが真っ先に狙うターゲットだお。だから無効化して、名前から推測できない別のアカウントを作るのが正解だお！やむを得ず使う場合でも、権限を最小限に絞る検討が必要だお。 【注意点・例外】やむを得ず初期IDを使う場合は、強固な認証技術を用いることが重要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.3(1)-2 b),「必要最小限の権限のみ付与」を実現するための具体的な方式として、ガイドラインが例示しているものはどれだお？,全職員に対して、最初からOSのすべての設定変更が可能な管理者権限を一律に付与する。,通常は制限された権限で操作し、管理作業時のみ「sudo」等で一時的に権限を利用する。,ログイン可能な時間を「午前9時から午後5時まで」の1時間に限定し、その間は全権限を与える。,複数の職員で一つの管理者用識別コードを共用し、個別のパスワード設定を不要にする。,2,【結論】正解は2だお！「王様の権限（管理者）」は、必要な時だけ使うのがプロだお！ 【根拠】※ https://www.nisc.go.jp/ ずっと管理者権限で作業していると、ウイルス感染やミスをした時の被害が全域に広がるお。普段は「一般市民（一般ユーザ）」として過ごし、大事な時だけ「sudo」で権限を借りるのが安全なんだお！ 【注意点・例外】権限を利用できる「時間的な機会」を限定することも、安全性強化に有効だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.4(1)(b),標的型攻撃の初期段階から経緯を確認する観点において、ガイドラインが「望ましい」としているログの保存期間はどれだお？,インシデント検知から事後対応が完了するまでの最短の期間。,過去の事例を踏まえ、少なくとも1年間以上。,ストレージの物理的な空き容量が許容できる範囲内での最大期間。,会計年度の切り替わり時期に合わせた、最長3ヶ月間。,2,【結論】正解は2だお！攻撃者は潜伏するから、1年は取っておきたいお！ 【根拠】※ https://www.nisc.go.jp/ 標的型攻撃（APT）は、侵入してから活動を広げるまで時間がかかることが多いお。初期の足跡を辿るためには、1年分くらいのログがないと真相究明が難しくなっちゃうんだお！ 【注意点・例外】長期保存のコストを抑えるため、古いログはテープや光ディスク等へ移す方法も有効だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.4(1)-1,ログの正確性を担保するため、複数の機器間で実施すべき「時刻同期」の具体的な実装例はどれだお？,各機器の内部クロックを、管理者が毎朝手動で誤差1秒以内に修正する。,インターネット上の公開NTPサービスや、組織内のタイムサーバを用いて同期する。,ログの出力順序のみを管理し、絶対的な時刻情報の記録は省略する。,通信パケットの受信間隔から、相対的な経過時間のみを算出して記録する。,2,【結論】正解は2だお！「いつ起きたか」がズレてたら、分析ができないお！ 【根拠】※ https://www.nisc.go.jp/ 複数の機器のログを突き合わせる時、時間がバラバラだと原因特定が困難だお。NTP（Network Time Protocol）を使って、常に正しい時刻に合わせておくのが基本だお！ 【注意点・例外】機器によっては、設定しないと現地時間（JST等）にならない場合があるから注意だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.4(1)(b),ログを保存できる物理的な容量が少なく、長期間の保存が困難な機器においてとるべき適切な措置はどれだお？,容量がいっぱいになった時点で、古いログを順次上書きして最新分のみ保持する。,ログを出力する事象の種類を最小限に絞り、テキストデータの圧縮率を高める。,一元的に管理するサーバ装置等にログを集約し、必要な期間取得できるようにする。,ログの取得自体を一時的に停止し、ストレージを増設するまでの間は運用でカバーする。,3,【結論】正解は3だお！「自分の家が狭いなら、倉庫（ログサーバ）に預ける」のが賢いお！ 【根拠】※ https://www.nisc.go.jp/ スイッチやルータなどは保存容量が小さいお。だから、ログを外部のログ収集サーバへリアルタイム転送して、そこでガッチリ長期保存するのがセオリーだお！ 【注意点・例外】転送時の通信プロトコルや、転送先のセキュリティ確保も重要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.4(1)-2 d),「特権的な操作」を監視するために取得すべき事象の種類として、適切なものはどれだお？,職員が個人的に閲覧した、ニュースサイトやSNSのアクセス履歴だお。,ユーザやグループの作成、およびアクセス権限の設定・変更・削除の履歴だお。,液晶ディスプレイの輝度設定や、マウスのカーソル速度の変更履歴だお。,プリンタの用紙補充や、トナーの交換時期に関する消耗品の管理ログ。,2,【結論】正解は2だお！「権限をいじった跡」は絶対に見逃しちゃダメだお！ 【根拠】※ https://www.nisc.go.jp/ 攻撃者は侵入後、自分に都合のいい権限を作ったり変えたりするお。誰がいつ権限をいじったか記録に残すことで、不正な動きをいち早く察知できるんだお！ 【注意点・例外】通信経路やアクセス制御の設定変更、不正プログラムの検出なども重要なログだお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.4(1)-3,取得したログ情報の「保全（消去や改ざんの防止）」のために講ずべき適切な措置はどれだお？,ログ収集サーバの管理者を、他のサーバの管理者と「異なる者」にする。,すべてのログ情報を、管理者が自由に修正・削除できる権限を与えて管理する。,ログの記録媒体として、書き換えが容易な共有ファイルサーバのみを使用する。,ログ収集サーバのIPアドレスを全職員に公開し、誰でも閲覧可能な状態にする。,1,【結論】正解は1だお！「悪いことをした人が、自分で証拠を消せない」ようにするお！ 【根拠】※ https://www.nisc.go.jp/ サーバ管理者が不正をした時、自分でログを消せたら困るお。だからログ専用の管理者を立てて「職務分掌」をさせるのが、改ざん防止の強い対策になるんだお！ 【注意点・例外】DVD-Rなどの書き換え不能な媒体に書き出して保管するのも有効だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.4(1)-4 b),「SIEM」を導入してログの調査・分析を行うことで得られる、最大のメリットはどれだお？,ログの保存に必要な物理的ストレージ容量を、従来の100分の1以下に削減できるお。,各機器のログを組み合わせた「相関分析」ができ、リアルタイムで異常を検出できる。,ネットワークの通信速度を2倍以上に向上させ、業務効率を劇的に改善できるお。,すべての管理者の主体認証を不要にし、生体情報のみで全システムを制御できるお。,2,【結論】正解は2だお！「点のログ」を繋いで「線（攻撃ストーリー）」にするのがSIEMだお！ 【根拠】※ https://www.nisc.go.jp/ FWやサーバ、端末のバラバラなログをSIEMでガッチャンコして分析すれば、単体では気づけない「怪しい動き」が見えてくるお！インシデント対応のスピードも爆上がりだお！ 【注意点・例外】導入や運用・保守の負荷が増えるから、システムの重要度に応じて判断が必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.4(1)-4 a),膨大なログの管理において、目視による点検・分析の困難さを解消するために推奨される仕組みはどれだお？,ログの取得項目を「エラー発生時」のみに極限まで絞り、全体のデータ量を減らすお。,ログの点検・分析・通知が自動的に実行されるよう、運用管理ツール等を導入するお。,週に一度、全職員が自分の操作ログを印刷し、上長が手作業で判子を押して確認する。,ログの内容を音声データに変換し、BGMとして執務室内に24時間流し続けるお。,2,【結論】正解は2だお！「人間の目」には限界があるから、ツールの力を借りるお！ 【根拠】※ https://www.nisc.go.jp/ 数万、数百万行のログを人間が見るのは無理だお。異常があった時に自動でアラートが出る仕組み（自動化機能）を構築して、管理者の負担を減らすのがスマートだお！ 【注意点・例外】点検・分析の自動化には、適切なフィルタリング条件の設定が不可欠だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.4(1)-2 e),事象の「対象」として記録すべきログ情報の例として、適切な組み合わせはどれだお？,アクセスしたURL、IPアドレス、ログインしたアプリケーション名、操作内容。,サーバールームの室温、湿度の推移、および空調設備の消費電力の推移。,管理用端末のキーボードの製造番号、およびマウスパッドの摩耗具合。,職員が持参した私物スマートフォンの、個別の電話帳に登録されている氏名リスト。,1,【結論】正解は1だお！「どこに、誰が、何をしたか」を特定するための情報を取るお！ 【根拠】※ https://www.nisc.go.jp/ 異常を検知したとき、どのURLやIPアドレスが関わっているかわからないと調査が進まないお。実行されたアプリのパスや、ファイル操作の内容をしっかり記録するのが大事だお！ 【注意点・例外】特定の操作指令の対象なども、事象の対象として記録する必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.4(1)(b),ログの長期保存において、費用を抑えるために推奨される保存媒体の使い分けはどれだお？,すべてのログを最新鋭のSSDのみに保存し、古いものから順次クラウドへ全量バックアップする。,直近のログはオンライン媒体（HDD等）に、それ以降はテープや光ディスク等の媒体に保存する。,ログをすべて紙媒体に印刷し、庁舎内の耐火金庫に10年間物理的に保管するお。,保存コストをゼロにするため、1ヶ月経過したログはすべて匿名化してSNS上に公開保存する。,2,【結論】正解は2だお！「よく見るもの」は手元に、「滅多に見ないもの」は倉庫へ送るお！ 【根拠】※ https://www.nisc.go.jp/ 全部HDDに入れると高くなっちゃうお。すぐに調べたい直近のログはHDDに置いて、古い分はテープ（LTO等）やDVD-Rに移せば、コストを抑えつつ長期間守れるんだお！ 【注意点・例外】オンラインでの調査頻度やコストのバランスを考えて、移動させる期間を決めるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.5(1)(b),CRYPTREC暗号リストにおける「運用監視暗号リスト」の利用目的として、ガイドラインが定めている正しいルールはどれだお？,新規構築する情報システムにおいて、最新のセキュリティを確保するための標準として利用する。,既存システムとの互換性維持以外の目的で利用してはならず、推奨暗号への移行を検討すべきである。,将来的に普及が見込まれる新しいアルゴリズムとして、研究開発目的でのみ利用が許可される。,暗号強度が非常に高いため、要機密情報を取り扱う基幹システムにおいて優先的に採用する。,2,【結論】正解は2だお！「古い鍵」は互換性のための最終手段だお！ 【根拠】※ https://www.cryptrec.go.jp/ 運用監視暗号リストは、すでに安全性が低下している可能性があるお。だから、どうしても古いシステムと繋ぐ必要がある時以外は使っちゃダメだし、早く「電子政府推奨暗号」に変えなきゃいけないんだお！ 【注意点・例外】互換性維持の目的であっても、解読リスクがあることを認識する必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.5(1)(b),「電子政府推奨暗号リスト」に掲載されているアルゴリズムを利用する際、鍵長（キーサイズ）に関する留意事項として正しいものはどれだお？,アルゴリズム名さえ合致していれば、鍵長はシステムの処理能力に合わせて任意に短縮してよい。,鍵長を長く設定しすぎると通信エラーの原因となるため、リスト内の最小値を常に選択すべきである。,設定基準に合致しない鍵長を用いた場合は、推奨リストの技術を利用しているとは見なされない。,鍵長の設定はハードウェアが自動で行うため、ソフトウェア側でアルゴリズムを指定する必要はない。,3,【結論】正解は3だお！「名前」と「長さ」が揃って初めて合格だお！ 【根拠】※ https://www.cryptrec.go.jp/ アルゴリズム（AESなど）が正しくても、鍵が短いと簡単に破られちゃうお。だからガイドラインは「決められた長さ」を使っていないものは、推奨暗号を使っているとは認めないお！と厳しく言っているんだお。 【注意点・例外】CRYPTRECの「暗号強度要件に関する設定基準」を個別に確認することが重要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(1)-1 a),情報システムの設計段階において、暗号モジュールを「交換可能な構成」とし、APIを統一しておくべき主な理由は何だお？,将来、選択したアルゴリズムや鍵長が危殆化（安全性が低下）した際に、直ちに変更できるようにするため。,複数の暗号モジュールを同時に動作させることで、データの処理速度を物理的に倍増させるため。,開発ベンダーが倒産した際に、ソースコードを解析せずにシステム全体を初期化できるようにするため。,利用者が自分の好みに合わせて、ログインのたびに異なる暗号化方式を自由に選択できるようにするため。,1,【結論】正解は1だお！「いつか破られる日」に備えて、付け替え可能にするお！ 【根拠】※ https://www.nisc.go.jp/ 暗号は永遠に安全じゃないお。計算機の性能が上がって「この暗号はもう危ないお！」となった時に、システムを作り直さずサッと中身（モジュール）を入れ替えられるようにしておくのが、賢い設計なんだお！ 【注意点・例外】事前にアプリケーションインタフェースを統一しておく等の考慮も必要だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(1)-1 c),ISO/IEC 19790に基づく「暗号モジュール試験及び認証制度」を利用して確認すべき、実装上のリスクはどれだお？,暗号化されたデータが、ネットワークの経由地で物理的にパケットロスを引き起こす可能性。,アルゴリズム自体は安全でも、実装時に擬似乱数に偏りが生じたり、鍵情報が露呈したりするリスク。,利用者のタイピング速度が遅い場合に、暗号化処理がタイムアウトしてデータが消失するリスク。,暗号化機能を利用することで、サーバのOSライセンスが自動的に無効化されるライセンス上の不備。,2,【結論】正解は2だお！「理論」が正しくても「作り方（実装）」で失敗したら意味がないお！ 【根拠】※ https://www.ipa.go.jp/ 暗号の理論は完璧でも、プログラムの書き方が悪いと、処理時間の違い（サイドチャネル攻撃）から鍵がバレたりするお。それを防ぐために、第三者機関が正しく作られているか試験（JCMVP等）するんだお！ 【注意点・例外】アルゴリズムそのものの安全性とは別に、実装の健全性を確認する制度だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(1)-1 d),耐タンパ性において、セキュリティレベル2がレベル1に加えて要求している追加のメカニズムはどれだお？,暗号モジュールの周囲に、24時間監視の赤外線センサーと警備員を配置すること。,暗号モジュールを危殆化する試みがなされたことを示す「タンパ証跡」メカニズム。,タンパを検出した瞬間に、建物全体の電源を強制遮断する自動シャットダウン機能。,暗号モジュールの外装を、ドリルによる穿孔を物理的に防ぐ超硬合金で覆うこと。,2,【結論】正解は2だお！「こじ開けた跡（証跡）」が残るようにするお！ 【根拠】※ https://www.nisc.go.jp/ レベル2では、誰かが無理やり中を見ようとした時に「シールが剥がれているお！」みたいに、証拠が残る仕組みが必要だお。これで「あ、誰か触ったなお！」と人間が気づけるようになるんだお！ 【注意点・例外】レベル3以上になると、検出した瞬間に中身を消す「タンパ応答」などが追加されるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(1)-1 e),暗号プロトコル（手順）を選択する際、ガイドラインが「独自の設計を避けるべき」としている主な理由は何だお？,独自のプロトコルを用いると、国際特許料の支払いが全職員に義務付けられるリスクがあるため。,高度な専門性がないと安全な設計は難しく、十分な検証がなされないと安全性が確保できないため。,独自設計のプロトコルはデータ量が膨大になり、既存のLANケーブルでは物理的に送信できないため。,一度独自に設計してしまうと、その後のシステムアップデートがすべて有料の個別対応になるため。,2,【結論】正解は2だお！「オレ様暗号（独自手順）」は、大抵どこかに穴があるお！ 【根拠】※ https://www.nisc.go.jp/ 暗号アルゴリズムが良くても、使い方の手順（プロトコル）を間違えると台無しだお。安全な手順を作るのは天才的な専門家でも難しいから、まずはSSL/TLSなどの「みんなが使って安全だと証明されたもの」を使うのが鉄則だお！ 【注意点・例外】既存に存在しない機能が必要な場合に限り、十分な検証の上で独自設計も検討されるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.5(1)(b),「推奨候補暗号リスト」に記載されたアルゴリズムを利用してよいとされるケースはどれだお？,電子政府推奨暗号リストの維持コストが、組織の年間予算の50%を超えることが判明したとき。,利用するソフトウェア等が推奨暗号に対応しておらず、将来の普及見込み等の影響を踏まえたとき。,利用者の利便性を最優先し、暗号化処理による待ち時間を1秒未満に短縮したいと判断したとき。,暗号モジュールの試験及び認証制度（JCMVP）の受検費用を、次年度以降に繰り越したいとき。,2,【結論】正解は2だお！「推奨」が使えない時の、次点の選択肢だお！ 【根拠】※ https://www.nisc.go.jp/ 基本は「推奨」を使うお！でも、相手のシステムが古かったり対応してなかったりする時は、そのリスクを承知の上で「推奨候補（これから主流になるかも？）」を使うことができるんだお！ 【注意点・例外】利用実績が不十分であること等の影響を十分に踏まえる必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(1)-1 d),耐タンパ性の構成要素のうち、不正な試みを「自動的に判定」する機能のことを何と呼ぶお？,タンパ証跡,タンパ応答,タンパ防御,タンパ検出,4,【結論】正解は4だお！「お、誰かが無理やり開けてるお！」と気づくのが第一歩だお！ 【根拠】※ https://www.nisc.go.jp/ 物理的な破壊や電気的な攻撃をシステムが自分で「これ攻撃だお！」と判定するのが「検出」だお。これがないと、自動的にデータを消去（応答）することもできないんだお！ 【注意点・例外】タンパ検出と応答があっても、目視でわかる「タンパ証跡」の代わりにはならないお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(1)-1 e),将来、公開鍵暗号の秘密鍵が破られた場合でも、過去の暗号文が解読される可能性を低減する「前方秘匿性」を備えた方式はどれだお？,共通鍵暗号の鍵を、毎日決まった時刻に手動で更新する「Static Key」方式だお。,暗号化された通信文を、すべて物理的な磁気テープに保存してオフライン管理する方式だお。,TLSで使われる暗号スイートのうち、DHE（Ephemeral DH）やECDH方式だお。,ハッシュ関数のSHA-256を二重に適用し、データの整合性のみを極限まで高める方式だお。,3,【結論】正解は3だお！「今」の鍵が盗まれても「過去」は守る、それが前方秘匿性だお！ 【根拠】※ https://www.nisc.go.jp/ 普通の方式だと、大元の秘密鍵がバレたら過去に録り溜められた暗号文が全部解読されちゃうお。でもDHEやECDHは、セッションごとに「使い捨ての鍵」を作るから、将来大元の鍵が破られても過去の通信は守られるんだお！ 【注意点・例外】長期の機密性が必要な機微情報を扱うシステムでは、この方式の採用が強く求められるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(1)-3 a),暗号モジュールの動作に伴う消費電力や漏えい電磁波から鍵情報を推測する「サイドチャネル攻撃」によって低下する強度はどれだお？,暗号アルゴリズムの計算量に基づいた「理論上の強度」が低下するお。,暗号プロトコルが想定する、ネットワークの「物理的な通信帯域の強度」が低下するお。,暗号モジュールを構成するハードウェアの「平均故障間隔（MTBF）」が低下するお。,暗号アルゴリズムをハードウェア等へ実装した際の「実装上の強度」が極端に低下するお。,4,【結論】正解は4だお！「理論」は正しくても「漏れ出る情報（実装）」でバレちゃうお！ 【根拠】※ https://www.nisc.go.jp/ アルゴリズム自体が数学的に無敵でも、計算中の電気の使い方のクセ（消費電力）や電磁波を盗み見られると、鍵がバレちゃうことがあるお。これがサイドチャネル攻撃だお！実装の仕方が悪いと、強度がガタ落ちするんだお。 【注意点・例外】これに対抗するには、JCMVP（暗号モジュール試験及び認証制度）に適合した製品を選ぶのが有効だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(1)-3 b),暗号鍵のライフサイクルにおける「配送」の手順として、ガイドラインが求めている適切な方法はどれだお？,利便性を優先し、全職員が閲覧可能な内部ポータルサイトの掲示板に鍵を掲載する。,受取先と対面等で正当性を確認し、なりすまし対策を講じた上で確実に届く仕組みを備える。,鍵のデータを100個の断片に分割し、それぞれを異なる検索サイトの広告枠に掲載する。,配送コストを削減するため、暗号化を施さない平文のまま、一般的なハガキで郵送する。,2,【結論】正解は2だお！「鍵」を渡す相手が本物か、しっかり目を見て確認するお！ 【根拠】※ https://www.nisc.go.jp/ 鍵を配送する時に偽者に渡しちゃったら、暗号化の意味がゼロになるお。だから対面での確認や、なりすましを防ぐ厳格な仕組みが必要なんだお！オンライン配送も、十分な確証がない限り避けるべきだお。 【注意点・例外】配送時は、鍵の内容自体が盗み見られないような保護（暗号化等）も必須だお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(1)-3 b),鍵の漏えいによる危殆化や、鍵を利用していた職員の退職に伴い、有効期限前の鍵の利用を停止することを何と呼ぶお？,鍵の更新（新たなパラメータに基づき、有効期限終了前に新鍵を生成すること）だお。,鍵の廃棄（不要になった鍵の情報を、物理的・電磁気学的な方法で完全に消去すること）だお。,鍵の失効（有効期限前の鍵の利用を、コピーやバックアップも含めて適切に停止すること）だお。,鍵の保管（HSM等のデバイスを用いて、第三者による窃取や改ざんから保護すること）だお。,3,【結論】正解は3だお！「もうこの鍵は無効だお！」と宣言して、使わせないようにするお！ 【根拠】※ https://www.nisc.go.jp/ 職員が辞めたり鍵が盗まれたりした時は、期限を待たずに「この鍵は死んだお！」と処理しなきゃいけないお。これが「失効」だお！バックアップ分も含めてしっかり停止させるのがポイントだお。 【注意点・例外】失効させた後は、最終的に「廃棄」の手順で物理的・電磁気学的に消去する必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.5(2)-1,利用者が電子署名を検証するための「電子証明書」を配布・提供する方法として、ガイドラインが例示している適切な組み合わせはどれだお？,利用者の自宅のポストに、未暗号化のUSBメモリを匿名で投函する。,信頼できる機関のサイトからのダウンロード、又は機関等の窓口での電磁的記録媒体による配布。,SNSの公開アカウントのタイムライン上に、証明書データを画像ファイルとして掲載する。,配布コストを削減するため、証明書のハッシュ値のみを電話で口頭伝達し、各自で生成させる。,2,【結論】正解は2だお！「確かな場所」から「確かな方法」で受け取ることが信頼の基本だお！ 【根拠】※ https://www.nisc.go.jp/ 本人であることを証明する大切な鍵だから、信頼できるサイトから落とすか、直接窓口でメディアを受け取るのが正しい手順だお！ 【注意点・例外】どちらの方法であっても、利用者が正しく端末に取り込める環境を整備する必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.6(1)(a),内部職員等による情報窃取などの不正な動作を監視し、検知・防止するために導入を検討すべき仕組み（内部脅威対策機能）はどれだお？,ネットワークの通信速度を24時間監視し、遅延が発生した際に通知するQoSツールだお。,外部からの不正侵入のみを遮断することに特化した、次世代ファイアウォール（NGFW）だお。,情報漏えい対策として、データの持ち出しを監視・制限するDLP（Data Loss Prevention）だお。,利用者のPCのデスクトップ画面を、1秒ごとにスクリーンショットで保存する画像管理ソフトだお。,3,【結論】正解は3だお！「中からの持ち出し」を見張るならDLPが定番だお！ 【根拠】※ https://www.nisc.go.jp/ 内部の人間による不正は、外の壁（FW）だけじゃ防げないお。DLPを使えば、大事なデータがUSBやメールで外に出ようとした時に止めることができるんだお！ 【注意点・例外】監視対象やイベントは、取り扱う情報の格付に応じて定期的に見直す必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 遵守事項7.1.6(1)(a),監視で得られたイベント情報を効率的に活用するため、データ形式の策定において留意すべき点はどれだお？,将来のストレージ容量不足に備え、独自のアルゴリズムで極限まで圧縮したバイナリ形式とする。,データの標準化の動向を踏まえ、一般的に用いられる見込みのある形式を採用する。,検索サイトのクローラが読み取れるよう、すべてのログをHTML形式でインターネットに公開する。,解析作業の属人化を防ぐため、音声データに変換して24時間執務室で再生可能な形式とする。,2,【結論】正解は2だお！「みんなが使ってる形式」に合わせるのが、分析への近道だお！ 【根拠】※ https://www.nisc.go.jp/ 独自の形式で作っちゃうと、後でSIEMとかの分析ツールに入れる時に苦労するお。標準的な形式（SyslogやJSONなど）を意識して、効率よく活用できるようにするお！ 【注意点・例外】監視機能の運用管理要件を定める際に、併せて検討することが望ましいお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.6(1)-1 g),異なるネットワークセグメント間の通信を監視することで、検知を想定している攻撃者の動き（横方向の侵害）を何と呼ぶお？,バックドア設置（裏口の構築）,ブルートフォース（総当たり攻撃）,ラテラルムーブメント（侵入範囲の拡大）,ゼロデイ攻撃（未知の脆弱性への攻撃）,3,【結論】正解は3だお！「一箇所入られた後の、横への広がり」を食い止めるお！ 【根拠】※ https://www.nisc.go.jp/ 攻撃者は最初に入った場所から、より重要な情報を求めて別のセグメントへ移動しようとするお（ラテラルムーブメント）。セグメント間の通信を見張れば、その「不自然な横移動」に気づけるんだお！ 【注意点・例外】異なるセグメントを接続する通信回線装置において、この監視を行うことが想定されているお。 【出典】統一基準ガイドライン 【確実性: 高】
統一基準ガイドライン 基本対策事項7.1.6(1)-2,監視のために「暗号化された通信を復号することの要否」を判断する際、最も重視すべき基準はどれだお？,通信に使用されている暗号アルゴリズムの、計算量的な解読の難易度。,監視業務を委託している外部事業者の、OSやハードウェアに関する技術レベル。,個人情報等の取り扱う情報の特性、およびプライバシー保護の必要性。,復号処理を行うために必要な、サーバのCPUリソースの空き状況や電力消費量。,3,【結論】正解は3だお！「セキュリティ」と「プライバシー」のバランスが大事だお！ 【根拠】※ https://www.nisc.go.jp/ 中身を見れば不正は防ぎやすいけど、何でもかんでも復号して見ちゃうと、職員のプライバシーを侵害しちゃうお。扱う情報の「格付」や「中身」を考えて、復号するかどうか決めるお！ 【注意点・例外】復号する場合は、対象となる関係者への説明手順なども定めておく必要があるお。 【出典】統一基準ガイドライン 【確実性: 高】
